UserId,CollateralToken,CollateralTokenAmount,Market,Size,SizeUsd,IsLong,Leverage
0x0514F2f3E0277c47117e3f33d9390EfB0aCfbdfe,0x0514F2f3E0277c47117e3f33d9390EfB0aCfbdfe,USDC,56927.275152,SOL-USD,1002.886554,161615.676200,true,0.000000
0x0514F2f3E0277c47117e3f33d9390EfB0aCfbdfe,0x0514F2f3E0277c47117e3f33d9390EfB0aCfbdfe,USDC,649005.102532,BTC-USD,6.999983,4580830.009300,false,0.000000
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,0x60fe5Cbd886A778f584FFCC63833B068104D1f77,USDC,7295.536489,,4.417224,38285.884500,false,0.000000
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,0x60fe5Cbd886A778f584FFCC63833B068104D1f77,USDC,37444.941093,BNB-USD,499920519208.688599,288671.046100,false,0.000000
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,0x60fe5Cbd886A778f584FFCC63833B068104D1f77,USDC,64695.215409,SOL-USD,4050.831186,619856.612600,true,0.000000
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,0x60fe5Cbd886A778f584FFCC63833B068104D1f77,USDC,28208.485883,DOGE-USD,99636.902483,155337.865000,false,0.000000
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,0x60fe5Cbd886A778f584FFCC63833B068104D1f77,USDC,3841.058496,NEAR-USD,2261101556698003712.000000,18093.812000,true,0.000000
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,0x60fe5Cbd886A778f584FFCC63833B068104D1f77,USDC,22471.746765,LINK-USD,6458779633576.091797,95086.705800,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,13108.984916,SOL-USD,621.896398,94526.045800,true,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,423638.737803,LINK-USD,152874841477744.468750,2176967.842000,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,155424.534748,ETH-USD,546219420810.652527,1661965.591300,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,97985.476350,DOGE-USD,484155.002613,733386.853200,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,10669.645611,ARB-USD,111854039056098.484375,108035.933100,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,269338.795082,BTC-USD,4.197731,2761242.590700,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,42407.628413,AVAX-USD,8675358007683.941406,297951.893400,false,0.000000
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,USDC,12168.851881,NEAR-USD,10619545868165842944.000000,85778.666000,false,0.000000
0x1dc67aDaf9f163c5b1A95043addBDFA1AF58e512,0x1dc67aDaf9f163c5b1A95043addBDFA1AF58e512,USDC,257165.865712,ETH-USD,608942892332.191528,1995296.797000,false,0.000000
0xE23BF044C30FCF7A4Ea427564B2ef2B782268FEa,0xE23BF044C30FCF7A4Ea427564B2ef2B782268FEa,USDC,263873.011914,ETH-USD,566389688366.875000,1662812.734800,false,0.000000
0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,USDC,39312.933057,LINK-USD,13730874363403.265625,199039.306600,false,0.000000
0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,USDC,8431.658937,BNB-USD,100017121683.531219,57957.254600,false,0.000000
0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,USDC,45949.193399,BTC-USD,0.598756,399163.442500,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,9023.732915,UNI-USD,8580582877367.266602,60261.763100,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,ETH,0.940962,ETH-USD,9605196058.494068,27705.210000,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,5140.469534,LTC-USD,56.926683,47835.064700,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,BTC,0.255219,BTC-USD,0.299682,198762.968200,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,8979.738476,AVAX-USD,1998805145740.750977,69555.104000,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,3201.717629,NEAR-USD,2997382564843800576.000000,24586.896000,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,27708.633725,BTC-USD,0.406954,256709.434100,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,2552.209302,,2.141481,17918.288700,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,USDC,14290.067690,BNB-USD,174917831294.119904,99549.469100,false,0.000000
0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,0xcFa0AB31d240e4E831c6219F62E73a38C6AAB058,BTC,0.141740,BTC-USD,0.139997,91501.306400,false,0.000000
0x1fb038578B0E53E19F6b730260Cf2Cd747730a3B,0x1fb038578B0E53E19F6b730260Cf2Cd747730a3B,USDC,101200.024767,BTC-USD,0.683959,400000.000000,false,0.000000
0x975f178fD8A566d98bc935340064c691Fa4d8881,0x975f178fD8A566d98bc935340064c691Fa4d8881,ETH,12.895504,ETH-USD,64475706743.271843,197630.083400,false,0.000000
0xaea8E3Bd369217CC6E3e6AbdDf0dA318fBA8E59b,0xaea8E3Bd369217CC6E3e6AbdDf0dA318fBA8E59b,BTC,1.496007,BTC-USD,0.249994,153125.458500,false,0.000000
0xaea8E3Bd369217CC6E3e6AbdDf0dA318fBA8E59b,0xaea8E3Bd369217CC6E3e6AbdDf0dA318fBA8E59b,ETH,59.920190,ETH-USD,120018592461.002609,346113.067900,false,0.000000
0xCeeC48581B3145a575508719f45da07dc57fA7ce,0xCeeC48581B3145a575508719f45da07dc57fA7ce,USDC,324995.768034,BTC-USD,5.099747,3373544.039000,false,0.000000
0xB53ED4b7B068d41b590927650f4dFB2F797C3b22,0xB53ED4b7B068d41b590927650f4dFB2F797C3b22,USDC,16041.958732,BTC-USD,1.194253,775473.606800,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,UNI,89.192136,UNI-USD,615569366137.851074,4569.301100,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,ETH,0.347941,NEAR-USD,1116281736428060928.000000,6350.878900,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,AVAX,97.741182,AVAX-USD,327282846696.848694,12414.861800,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,ETH,0.456826,,1.142991,9563.392400,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,BNB,0.851648,BNB-USD,44566220806.160522,22505.295000,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,LINK,176.201860,LINK-USD,771559629654.454346,11140.863800,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,ETH,0.750868,XRP-USD,23.489145,12223.008000,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,BTC,0.033606,BTC-USD,0.051703,29008.624100,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,ARB,3544.553042,ARB-USD,10251694254234.998047,11655.064600,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,ETH,0.178873,DOGE-USD,3594.604585,4818.315300,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,SOL,5.658303,SOL-USD,35.268125,5163.518800,true,0.000000
0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,0x987aC0eBf4708FA60E4153B85BF706AB0268d9ca,OP,402.704389,OP-USD,3555347554338.652832,8805.305800,true,0.000000
0x338E969bc1aa7EEC01eCbA0940e30a2Ac3CdF6B4,0x338E969bc1aa7EEC01eCbA0940e30a2Ac3CdF6B4,ETH,54.589673,ETH-USD,399769433106.752380,1156603.840000,true,0.000000
0x493aFFC3aca7326D5aBb402b5a87A74Bf3D703E0,0x493aFFC3aca7326D5aBb402b5a87A74Bf3D703E0,USDC,4992.760305,NEAR-USD,2069418128849247488.000000,14477.250100,false,0.000000
0x9F3A95d79c04f56740c914ab143c30f9554D2BDe,0x9F3A95d79c04f56740c914ab143c30f9554D2BDe,ETH,5.719285,ETH-USD,31443451980.589680,97155.187800,true,0.000000
0x7665A46c97E62298CC4381327DAFbCc16ff9dFe1,0x7665A46c97E62298CC4381327DAFbCc16ff9dFe1,BTC,0.098852,BTC-USD,0.048532,27855.088100,false,0.000000
0x7665A46c97E62298CC4381327DAFbCc16ff9dFe1,0x7665A46c97E62298CC4381327DAFbCc16ff9dFe1,ETH,1.984114,ETH-USD,10101852860.822060,31050.484100,true,0.000000
0xa160d4584EaC8fF04F3fBAF7D1FA5C8937E90780,0xa160d4584EaC8fF04F3fBAF7D1FA5C8937E90780,USDC,3709.759756,ETH-USD,4439397337.094522,13439.527000,true,0.000000
0xAb709116e3E2D4fA8248e23C60f1330541c2936d,0xAb709116e3E2D4fA8248e23C60f1330541c2936d,USDC,9900.226341,SOL-USD,1397.002413,222450.042900,true,0.000000
0x8F5db667276e9d805bF5aDb315374f8fa299699E,0x8F5db667276e9d805bF5aDb315374f8fa299699E,USDC,4983.603965,LINK-USD,1537956031214.524414,23423.441600,true,0.000000
0x8F5db667276e9d805bF5aDb315374f8fa299699E,0x8F5db667276e9d805bF5aDb315374f8fa299699E,USDC,2435.874972,ETH-USD,14210442045.323542,41400.504300,true,0.000000
0xC0F86af87512993055227539725b484e627010FF,0xC0F86af87512993055227539725b484e627010FF,USDC,2482.602476,BTC-USD,0.032976,20106.065700,false,0.000000
0x9FA4f14461afC0801e416300B6Cba77Df49C9a55,0x9FA4f14461afC0801e416300B6Cba77Df49C9a55,USDC,98.585675,BTC-USD,0.003282,2020.227800,true,0.000000
0xaf89dC6eFaE04712Ee415005e4df821A27F9022F,0xaf89dC6eFaE04712Ee415005e4df821A27F9022F,USDC,641.299450,ETH-USD,4247077463.706939,12822.714500,true,0.000000
0x59fd2eE7c40D9A948DDb92558ae9eC3D52716AD5,0x59fd2eE7c40D9A948DDb92558ae9eC3D52716AD5,ETH,0.285164,LTC-USD,2.611541,2305.046100,true,0.000000
0x59fd2eE7c40D9A948DDb92558ae9eC3D52716AD5,0x59fd2eE7c40D9A948DDb92558ae9eC3D52716AD5,ETH,0.034330,DOGE-USD,2169.087420,3152.699800,true,0.000000
0xAfBF55b19cD477ba6c9BD65fcFDBf09296b3deb1,0xAfBF55b19cD477ba6c9BD65fcFDBf09296b3deb1,USDC,74.459872,BTC-USD,0.001005,633.181000,true,0.000000
0x07E9d06db58A77407DB95D93Fbe1275a46F97463,0x07E9d06db58A77407DB95D93Fbe1275a46F97463,USDC,1188.634265,BTC-USD,0.029525,19015.160200,true,0.000000
0x07E9d06db58A77407DB95D93Fbe1275a46F97463,0x07E9d06db58A77407DB95D93Fbe1275a46F97463,USDC,1193.554928,SOL-USD,94.170448,14321.110700,true,0.000000
0x07E9d06db58A77407DB95D93Fbe1275a46F97463,0x07E9d06db58A77407DB95D93Fbe1275a46F97463,USDC,1152.897747,ETH-USD,6222634218.774855,18444.578800,true,0.000000
0xf55B92b635bb745F65Be9f9E84a5509905298aAF,0xf55B92b635bb745F65Be9f9E84a5509905298aAF,USDC,4330.247698,ARB-USD,21892300582910.910156,21979.565500,true,0.000000
0x41cF64CE7bd0d4D13A9De8171b869cA7FE152Fa1,0x41cF64CE7bd0d4D13A9De8171b869cA7FE152Fa1,USDC,3791.261750,XRP-USD,87.772628,44677.014600,true,0.000000
0xB4e9D3Ad7334Ea877F04E9ad6dD1dfBE5EfE7C8b,0xB4e9D3Ad7334Ea877F04E9ad6dD1dfBE5EfE7C8b,USDC,748.374519,SOL-USD,7.981484,1246.852100,true,0.000000
0xB4e9D3Ad7334Ea877F04E9ad6dD1dfBE5EfE7C8b,0xB4e9D3Ad7334Ea877F04E9ad6dD1dfBE5EfE7C8b,USDC,499.625282,BTC-USD,0.001157,749.422600,true,0.000000
0x0189c952c7e938adbf3bBcf70715B8e0964c9806,0x0189c952c7e938adbf3bBcf70715B8e0964c9806,USDC,289.829145,BTC-USD,0.001659,989.584600,true,0.000000
0x4612Aed50781f84E0BfB6C639AE800652b671d4a,0x4612Aed50781f84E0BfB6C639AE800652b671d4a,BTC,0.004149,BTC-USD,0.011324,7454.328100,true,0.000000
